ID,Menu,VIP
001,pad thai,False
002,green curry,False
003,tom yum soup,True
004,fried rice,False
005,papaya salad,False
006,massaman curry,False
007,basil chicken,False
008,chicken satay,False
009,noodle soup,False
010,mango sticky rice,False
011,pad thai,False
012,green curry,False
013,tom yum soup,False
014,fried rice,False
015,papaya salad,True
016,massaman curry,False
017,basil chicken,False
018,chicken satay,False
019,noodle soup,False
020,mango sticky rice,False
021,pad thai,False
022,green curry,False
023,tom yum soup,False
024,fried rice,False
025,papaya salad,False
026,massaman curry,True
027,basil chicken,False
028,chicken satay,False
029,noodle soup,False
030,mango sticky rice,False
031,pad thai,False
032,green curry,False
033,tom yum soup,False
034,fried rice,False
035,papaya salad,False
036,massaman curry,False
037,basil chicken,False
038,chicken satay,False
039,noodle soup,False
040,mango sticky rice,False
041,pad thai,False
042,green curry,False
043,tom yum soup,False
044,fried rice,False
045,papaya salad,False
046,massaman curry,False
047,basil chicken,False
048,chicken satay,False
049,noodle soup,False
050,mango sticky rice,False
051,pad thai,False
052,green curry,False
053,tom yum soup,False
054,fried rice,False
055,papaya salad,False
056,massaman curry,False
057,basil chicken,False
058,chicken satay,False
059,noodle soup,False
060,mango sticky rice,False
061,pad thai,False
062,green curry,False
063,tom yum soup,False
064,fried rice,False
065,papaya salad,False
066,massaman curry,False
067,basil chicken,False
068,chicken satay,False
069,noodle soup,False
070,mango sticky rice,False
071,pad thai,False
072,green curry,False
073,tom yum soup,False
074,fried rice,False
075,papaya salad,False
076,massaman curry,False
077,basil chicken,False
078,chicken satay,False
079,noodle soup,False
080,mango sticky rice,False
081,pad thai,False
082,green curry,False
083,tom yum soup,False
084,fried rice,False
085,papaya salad,False
086,massaman curry,False
087,basil chicken,False
088,chicken satay,False
089,noodle soup,False
090,mango sticky rice,False
091,pad thai,False
092,green curry,False
093,tom yum soup,False
094,fried rice,False
095,papaya salad,False
096,massaman curry,False
097,basil chicken,True
098,chicken satay,False
099,noodle soup,False
100,mango sticky rice,False
